Name,Gender,Salary (bottom),Salary (top),Salary (midpoint)
Gary Linekar,Male," 1,750,000 "," 1,754,999 "," 1,752,500 "
Chris Evans,Male," 1,250,000 "," 1,254,999 "," 1,252,500 "
Graham Norton,Male," 610,000 "," 614,999 "," 612,500 "
Steve Wright,Male," 465,000 "," 469,999 "," 467,500 "
Huw Edwards,Male," 490,000 "," 494,999 "," 492,500 "
Jeremy Vine,Male," 290,000 "," 294,999 "," 292,500 "
Nicky Campbell,Male," 340,000 "," 345,999 "," 343,000 "
Alan Shearer,Male," 440,000 "," 444,999 "," 442,500 "
Nick Grimshaw,Male," 310,000 "," 314,999 "," 312,500 "
John Humphrys,Male," 290,000 "," 294,999 "," 292,500 "
Andrew Marr,Male," 390,000 "," 394,999 "," 392,500 "
Stephen Nolan,Male," 325,000 "," 329,999 "," 327,500 "
Claudia Winkleman,Female," 370,000 "," 374,999 "," 372,500 "
Simon Mayo,Male," 245,000 "," 249,999 "," 247,500 "
Vanessa Feltz,Female," 355,000 "," 359,999 "," 357,500 "
Eddie Mair,Male," 155,000 "," 159,999 "," 157,500 "
Ken Bruce,Male," 280,000 "," 284,999 "," 282,500 "
George Alagiah,Male," 315,000 "," 319,999 "," 317,500 "
Scott Mills,Male," 285,000 "," 289,999 "," 287,500 "
Jason Mohammad,Male," 355,000 "," 359,999 "," 357,500 "
Nick Robinson,Male," 290,000 "," 294,999 "," 292,500 "
Evan Davis,Male," 275,000 "," 279,999 "," 277,500 "
Lauren Laverne,Female," 305,000 "," 309,999 "," 307,500 "
Gabby Logan,Female," 290,000 "," 294,999 "," 292,500 "
Jon Sopel,Male," 240,000 "," 244,999 "," 242,500 "
Mark Chapman,Male," 230,000 "," 239,999 "," 235,000 "
Mishal Husain,Female," 255,000 "," 259,999 "," 257,500 "
Laura Kuenssberg,Female," 250,000 "," 254,999 "," 252,500 "
Emily Maitlis,Female," 260,000 "," 264,999 "," 262,500 "
Dan Walker,Male," 280,000 "," 284,999 "," 282,500 "
Victoria Derbyshire,Female," 215,000 "," 219,999 "," 217,500 "
Jeremy Bowen,Male," 215,000 "," 219,999 "," 217,500 "
Martha Kearney,Female," 245,000 "," 249,999 "," 247,500 "
Amol Rajan,Male," 210,000 "," 214,999 "," 212,500 "
Sophie Raworth,Female," 265,000 "," 269,999 "," 267,500 "
Sue Barker,Female," 195,000 "," 199,999 "," 197,500 "
Mary Berry,Female," 195,000 "," 199,999 "," 197,500 "
John McEnroe,Male," 190,000 "," 194,999 "," 192,500 "
Mark Radcliffe,Male," 155,000 "," 159,999 "," 157,500 "
Jonathon Agnew,Male," 170,000 "," 174,999 "," 172,500 "
Clare Balding,Female," 175,000 "," 179,999 "," 177,500 "
Fiona Bruce,Female," 255,000 "," 259,999 "," 257,500 "
Katya Adler,Female," 205,000 "," 209,999 "," 207,500 "
Mark Easton,Male," 180,000 "," 184,999 "," 182,500 "
Greg James,Male," 225,000 "," 229,999 "," 227,500 "
Shaun Keaveny,Male," 160,000 "," 164,999 "," 162,500 "
James Naughtie,Male," 170,000 "," 174,999 "," 172,500 "
Jo Whiley,Female," 270,000 "," 274,999 "," 272,500 "
Ian Wright,Male," 205,000 "," 209,999 "," 207,500 "
Sarah Montague,Female," 240,000 "," 244,999 "," 242,500 "
Justin Webb,Male," 245,000 "," 249,999 "," 247,500 "
Ben Brown,Male," 165,000 "," 169,999 "," 167,500 "
Rachel Burden,Female," 170,000 "," 174,999 "," 172,500 "
Tina Daheley,Female," 185,000 "," 189,999 "," 187,500 "
Simon Jack,Male," 170,000 "," 174,999 "," 172,500 "
Fergal Keane,Male," 195,000 "," 199,999 "," 197,500 "
Trevor Nelson,Male," 165,000 "," 169,999 "," 167,500 "
John Pienaar,Male," 160,000 "," 164,999 "," 162,500 "
Sarah Smith,Female," 160,000 "," 164,999 "," 162,500 "
Zoe Ball,Female," 370,000 "," 374,999 "," 372,500 "
Louise Minchin,Female," 205,000 "," 209,999 "," 207,500 "
Clive Myrie,Male," 200,000 "," 204,999 "," 202,500 "
Naga Munchetty,Female," 190,000 "," 194,999 "," 192,500 "
Sara Cox,Female," 235,000 "," 239,999 "," 237,500 "
Jermaine Jenas,Female," 210,000 "," 214,999 "," 212,500 "
Annie Mac,Female," 180,000 "," 184,999 "," 182,500 "
Adrian Chiles,Male," 180,000 "," 184,999 "," 182,500 "
Nihal Arthanayake,Male," 175,000 "," 179,999 "," 177,500 "
Reeta Chakrabarti,Female," 170,000 "," 174,999 "," 172,500 "
Orla Guerin,Female," 160,000 "," 164,999 "," 162,500 "
Jane Hill,Female," 155,000 "," 159,999 "," 157,500 "
Joanna Gosling,Female," 150,000 "," 154,999 "," 152,500 "
Clara Amfo,Female," 150,000 "," 154,999 "," 152,500 "
Dotun Adebayo,Male," 150,000 "," 154,999 "," 152,500 "